EXPLAIN
TAG	GALVEIS
TITLE	LABEL	Galvanostatic EIS 30	Test Identifier
DATE	LABEL	26.1.2024	Date
TIME	LABEL	15:54:25	Time
NOTES	NOTES	1	Notes...
	EIS bei 30%
PSTAT	PSTAT	REF3000-39109	Potentiostat
FREQINIT	QUANT	1,00000E+004	Initial Freq. (Hz)
FREQFINAL	QUANT	1,00000E-003	Final Freq. (Hz)
PTSPERDEC	QUANT	1,00000E+001	Points/decade
IACREQ	QUANT	7,50000E-002	AC Current (A rms)
IDCREQ	QUANT	0,00000E+000	DC Current (A)
AREA	QUANT	1,00000E+000	Sample Area (cm^2)
SPEED	SELECTOR	1	Optimize for:
DRIFTCOR	SELECTOR	0	Drift Correction
ZGUESS	QUANT	1,70000E-002	Estimated Z (ohms)
EOC	QUANT	3,481588	Open Circuit (V)
SEQUENCER	TOGGLE	TRUE	Run as Sequence
PSTATMODEL	IQUANT	5	Pstat Model
PSTATSECTION	LABEL	REF3000-39109	Pstat Section
PSTATSERIALNO	LABEL	39109	Pstat Serial Number
CTRLMODE	IQUANT	0	Control Mode
ELECTROMETER	IQUANT	0	RE=0 or CS=1
IESTAB	IQUANT	0	I/E Stability
CASPEED	IQUANT	4	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	T	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	3	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	F	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	T	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	3	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	2	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	11	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	4	Ach Select
SENSECABLEID	IQUANT	12	Sense Cable ID
PWRCABLEID	IQUANT	12	Power Cable ID
DCCALDATE	LABEL	1/2/2024	DC Calibration Date
ACCALDATE	LABEL	1/2/2024	AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	LABEL	7.8.4	Framework Version
INSTRUMENTVERSION	LABEL	4.42	Instrument Version
COMPLIANCEVOLTAGE	IQUANT	0	Compliance Voltage
ZCURVE	TABLE
	Pt	Time	Freq	Zreal	Zimag	Zsig	Zmod	Zphz	Idc	Vdc	IERange
	#	s	Hz	ohm	ohm	V	ohm	°	A	V	#
	0	5	10078,13	0,0135154	0,012216	1	0,0182181	42,10912	-0,0001104	3,481694	11
	1	6	8015,625	0,013324	0,0095736	1	0,0164068	35,69821	-0,0001098	3,481694	11
	2	8	6328,125	0,0132246	0,0073559	1	0,0151327	29,08383	-0,00011	3,481696	11
	3	10	5015,625	0,0131974	0,0055913	1	0,014333	22,96056	-0,0001091	3,481696	11
	4	11	3984,375	0,0132362	0,0041681	1	0,013877	17,47941	-0,0001093	3,481699	11
	5	13	3170,956	0,0133019	0,0029953	1	0,0136349	12,69009	-0,0001088	3,481703	11
	6	15	2527,573	0,0134234	0,0020236	1	0,013575	8,572996	-0,0001083	3,481705	11
	7	16	1976,103	0,0135848	0,0011504	1	0,0136335	4,840459	-0,000109	3,481705	11
	8	18	1577,524	0,0138031	0,0004708	1	0,0138111	1,953488	-0,0001089	3,481707	11
	9	20	1265,625	0,0140482	-8,364768E-005	1	0,0140485	-0,3411538	-0,0001085	3,481709	11
	10	21	998,264	0,0143281	-0,000562	1	0,0143391	-2,246368	-0,000109	3,48171	11
	11	23	796,875	0,0146313	-0,0009722	1	0,0146636	-3,801667	-0,0001089	3,48171	11
	12	24	627,7902	0,0149762	-0,0012973	1	0,0150323	-4,950915	-0,0001083	3,48171	11
	13	26	505,5147	0,0153032	-0,0015719	1	0,0153837	-5,864506	-0,0001047	3,481723	11
	14	27	397,9953	0,0156685	-0,0017994	1	0,0157715	-6,551083	-0,0001043	3,481722	11
	15	28	315,5048	0,016047	-0,0019833	1	0,0161691	-7,045747	-0,0001045	3,481723	11
	16	30	252,4038	0,0164208	-0,0021249	1	0,0165577	-7,373388	-0,000103	3,481726	11
	17	31	198,6229	0,0168146	-0,0022421	1	0,0169635	-7,595295	-0,0001042	3,481726	11
	18	33	158,3615	0,0172014	-0,0023339	1	0,017359	-7,726718	-0,0001031	3,48173	11
	19	34	125,558	0,0175841	-0,0024155	1	0,0177492	-7,821584	-0,0001043	3,48173	11
	20	36	100,4464	0,0179544	-0,0024694	1	0,0181234	-7,831093	-0,0001016	3,48173	11
	21	37	79,00281	0,0183442	-0,0025253	1	0,0185172	-7,838214	-0,0001049	3,481729	11
	22	39	63,3446	0,0187066	-0,0025785	1	0,0188834	-7,848168	-0,0001033	3,481732	11
	23	40	50,22321	0,019092	-0,0026373	1	0,0192733	-7,864823	-0,000102	3,481732	11
	24	42	38,42213	0,0195222	-0,0027213	1	0,019711	-7,935471	-0,0001048	3,481729	11
	25	44	31,25	0,0198737	-0,0027971	1	0,0200696	-8,011421	-0,0001058	3,481729	11
	26	45	24,93351	0,0202534	-0,0028925	1	0,0204589	-8,127655	-0,0001028	3,481737	11
	27	47	19,86229	0,020716	-0,0030037	1	0,0209326	-8,250128	-0,0000959	3,481757	11
	28	48	15,625	0,0211816	-0,0031185	1	0,0214099	-8,375396	-0,0000962	3,481756	11
