Freq(Hz)	Zmod(Ohm)	Zphz(Deg)	Zreal(Ohm)	Zimag(Ohm)	Capacity(Ah)	SOH
10000.0	0.04109647673463018	41.03378729995785	0.031	0.02698	3.91807	80.46
7943.0	0.036971713511818736	37.681977769883574	0.02926	0.0226	3.91807	80.46
6310.0	0.03346799366559041	33.86574807610439	0.02779	0.01865	3.91807	80.46
5012.0	0.030708519990387033	29.75413822868381	0.02666	0.01524	3.91807	80.46
3981.0	0.028304679825074862	25.487713281354207	0.02555	0.01218	3.91807	80.46
3162.0	0.027185529404446036	21.349374209678658	0.02532	0.009897	3.91807	80.46
2512.0	0.026082959111266495	17.322050232057784	0.0249	0.007766	3.91807	80.46
1995.0	0.02506802792403104	14.126046953678426	0.02431	0.006118	3.91807	80.46
1585.0	0.0246732899306112	10.877282552872225	0.02423	0.004656	3.91807	80.46
1259.0	0.024518150032170043	7.992290553995765	0.02428	0.003409	3.91807	80.46
1000.0	0.02448060311757045	5.68963356832163	0.02436	0.002427	3.91807	80.46
794.3	0.024553698886318535	3.790015522617694	0.0245	0.001623	3.91807	80.46
631.0	0.02489519937739001	2.002233961429429	0.02488	0.0008698	3.91807	80.46
501.2	0.025083162537646645	0.9098481141220315	0.02508	0.0003983	3.91807	80.46
398.1	0.025270020630068744	0.0732124936113285	0.02527	3.229e-05	3.91807	80.46
316.2	0.02545129153815185	-0.5772157512986993	0.02545	-0.0002564	3.91807	80.46
251.2	0.025644616970428705	-1.0872379030545323	0.02564	-0.0004866	3.91807	80.46
199.5	0.025859215264388825	-1.5296665063313761	0.02585	-0.0006903	3.91807	80.46
158.5	0.026053467595696357	-1.8423350226470159	0.02604	-0.0008376	3.91807	80.46
125.9	0.026267489993526218	-2.090967426871362	0.02625	-0.0009584	3.91807	80.46
100.0	0.026490501392008422	-2.254302688031857	0.02647	-0.001042	3.91807	80.46
79.43	0.026723063072933838	-2.3805885338849833	0.0267	-0.00111	3.91807	80.46
63.1	0.02694651044198488	-2.5417361178692746	0.02692	-0.001195	3.91807	80.46
52.0	0.027120696893700943	-2.7263109939062655	0.02709	-0.00129	3.91807	80.46
39.81	0.027357709352210026	-2.578977862622986	0.02733	-0.001231	3.91807	80.46
31.62	0.027588741924922926	-2.6155758475350006	0.02756	-0.001259	3.91807	80.46
25.12	0.027787725365707786	-2.559681263816606	0.02776	-0.001241	3.91807	80.46
19.95	0.027976788164476636	-2.5075225141301334	0.02795	-0.001224	3.91807	80.46
15.85	0.02817476283839848	-2.402367926628648	0.02815	-0.001181	3.91807	80.46
12.59	0.028403371349190222	-2.324472220742168	0.02838	-0.001152	3.91807	80.46
10.0	0.028559345248096987	-2.108993186808922	0.02854	-0.001051	3.91807	80.46
7.943	0.028688032156284266	-2.0315795524910674	0.02867	-0.001017	3.91807	80.46
6.31	0.02884716493869025	-1.9766452214658634	0.02883	-0.000995	3.91807	80.46
5.012	0.02899383554068002	-1.7701095046103512	0.02898	-0.0008956	3.91807	80.46
3.981	0.029062994701165946	-1.713431632705674	0.02905	-0.000869	3.91807	80.46
3.162	0.029202411059534108	-1.6705061822837635	0.02919	-0.0008513	3.91807	80.46
2.512	0.02929093511805316	-1.565655694437679	0.02928	-0.0008003	3.91807	80.46
1.995	0.029379477776842803	-1.4553937637049903	0.02937	-0.0007462	3.91807	80.46
1.585	0.029449495833375486	-1.4550466292571749	0.02944	-0.0007478	3.91807	80.46
1.259	0.02955003123534728	-1.4929599392382396	0.02954	-0.0007699	3.91807	80.46
1.0	0.02963864728374087	-1.3840725498587267	0.02963	-0.0007159	3.91807	80.46
0.7943	0.029714799028261997	-1.8083640199376223	0.0297	-0.0009377	3.91807	80.46
0.631	0.029815129214712452	-1.8253487042518517	0.0298	-0.0009497	3.91807	80.46
0.5012	0.029855042216684266	-1.8188753695715343	0.02984	-0.0009476	3.91807	80.46
0.3981	0.029946801314998567	-1.9193507798984109	0.02993	-0.001003	3.91807	80.46
0.3162	0.030089280965154352	-2.0512533533724553	0.03007	-0.001077	3.91807	80.46
0.2512	0.030151634516224823	-2.1706098315222992	0.03013	-0.001142	3.91807	80.46
0.1995	0.03030858386662102	-2.488567549814482	0.03028	-0.001316	3.91807	80.46
0.1585	0.030442670710698165	-2.6546935448597693	0.03041	-0.00141	3.91807	80.46
0.1259	0.03058105060327392	-2.9690656110883373	0.03054	-0.001584	3.91807	80.46
0.1	0.030766699351734175	-3.478988088130898	0.03071	-0.001867	3.91807	80.46
0.07943	0.0309608260387219	-3.8762400345410426	0.03089	-0.002093	3.91807	80.46
0.0631	0.03119915942777946	-4.3326469296154215	0.03111	-0.002357	3.91807	80.46
0.05012	0.031450809464940645	-5.023556755887221	0.03133	-0.002754	3.91807	80.46
0.03981	0.03179120961838351	-5.590441411499301	0.03164	-0.003097	3.91807	80.46
0.03162	0.03214894307749479	-6.377388996560278	0.03195	-0.003571	3.91807	80.46
0.02512	0.03257086268430727	-7.256367403539096	0.03231	-0.004114	3.91807	80.46
0.01995	0.03310789066068692	-8.192755974318253	0.03277	-0.004718	3.91807	80.46
0.01585	0.03365114947516652	-9.287656708989353	0.03321	-0.005431	3.91807	80.46
0.01259	0.034321300966018174	-10.560176225878388	0.03374	-0.00629	3.91807	80.46
0.01	0.03513046825762503	-11.94325663136639	0.03437	-0.00727	3.91807	80.46
